step,date,reserves,totalLoans,totalDeposits,equity,totalAssets,grossInterestIncome,depositInterestExpense,chargeOffLosses,netIncome,totalActiveLoans,numDefaulted,numChargedOff,numNewLoans,policyRate,unemploymentRate,depositorConfidence
1,2024-02-01,6229965.03,1259532.77,2461683.19,5027814.61,7489497.80,8894.33,3668.93,0.00,5225.40,48,0,0,48,0.05,0.04,0.95
2,2024-03-01,6926695.90,1245739.14,3116915.28,5055519.76,8172435.04,8795.58,3679.64,0.00,5115.94,48,0,0,48,0.05,0.04,0.95
3,2024-04-01,7632692.40,1231846.04,3781423.72,5083114.72,8864538.44,8696.11,3690.36,0.00,5005.75,48,0,0,48,0.05,0.04,0.95
4,2024-05-01,8320632.89,1217852.73,4427886.88,5110598.74,9538485.62,8595.90,3701.09,0.00,4894.81,48,0,0,48,0.05,0.04,0.95
5,2024-06-01,9013112.62,1203758.53,5078900.05,5137971.10,10216871.15,8495.01,3711.87,0.00,4783.14,48,0,0,48,0.05,0.04,0.95
6,2024-07-01,9696005.91,1189562.66,5720337.67,5165230.90,10885568.56,8393.34,3722.75,0.00,4670.59,48,0,0,48,0.05,0.04,0.95
7,2024-08-01,10392703.59,1175264.38,6375590.53,5192377.44,11567967.96,8290.93,3733.60,0.00,4557.33,48,0,0,48,0.05,0.04,0.95
8,2024-09-01,11080129.86,1160862.93,7021582.88,5219409.91,12240992.79,8187.76,3744.50,0.00,4443.26,48,0,0,48,0.05,0.04,0.95
9,2024-10-01,11749955.56,1146357.64,7649985.64,5246327.56,12896313.20,8083.92,3755.48,0.00,4328.44,48,0,0,48,0.05,0.04,0.95
10,2024-11-01,12460237.76,1131747.68,8318855.76,5273129.69,13591985.45,7979.26,3766.34,0.00,4212.92,48,0,0,48,0.05,0.04,0.95
11,2024-12-01,13152581.97,1117032.30,8969798.88,5299815.39,14269614.27,7873.83,3777.34,0.00,4096.49,48,0,0,48,0.05,0.04,0.95
12,2025-01-01,13842549.17,1102210.76,9618376.07,5326383.86,14944759.93,7767.67,3788.41,0.00,3979.26,48,0,0,48,0.05,0.04,0.95
